Iterations,Function Calls,Execution Time (s),Total Execution Time (s),Execution Memory (KB),Total Execution Memory (KB),CPU Usage (%),Memory Usage (MB),Memory Usage (%),Available Virtual Memory (MB),Swap Usage (MB),Swap Usage (%),Energy Usage (%),Download Speed (Mbps),Upload Speed (Mbps),Ping (ms),Disk Write Time (s),Disk Read Time (s),Server Response Time (s),label
12582283.43,4860.440013,115.2557704,149.1247179,151.6697032,153.0371603,27.30940482,7118.791653,87.93107067,1009.326294,6734.484141,42.61549722,30.4451659,19.77560418,5.000355017,55.96336099,0.280702296,0.035272106,0.853990991,0
12573380.89,4915.811922,96.96344536,158.4971996,149.8279149,150.0560664,37.94038221,6676.15237,81.68740876,1474.984709,7179.181684,45.06026203,39.53350296,16.38611361,4.33818241,42.31704368,0.279197455,0.039251698,6.725799181,0
12525021.93,4928.518513,99.16047724,128.4841935,149.5106115,151.1582253,43.09611331,5798.603924,72.46637983,2245.594376,7744.496047,48.8510728,41.2729095,18.29980193,8.275815005,41.76505312,0.227447715,0.03686858,0.875748123,0
12577854.18,4869.339088,183.0588022,220.235436,151.6059151,151.353966,59.54885539,6841.870097,84.22444354,1229.864656,7053.261492,44.26367778,51.23870628,10.05043674,5.158776172,41.50955124,0.383224372,0.074189992,1.229604167,0
12570049.95,4923.668578,132.0483636,159.3672178,150.4094473,151.3058871,49.43312173,6596.149109,81.51990502,1525.344062,7506.828082,47.87445732,60.92115298,11.71625051,6.091333135,53.56078027,0.292809773,0.047111232,0.840155745,0
12587513.4,4890.802126,142.2924546,172.8005771,152.215485,151.9035877,51.75037097,6533.05847,80.39009387,1537.895335,7648.680202,47.58012686,57.61721719,16.63763227,10.53027806,42.78086737,0.386873569,0.072008608,0.772015874,0
12510822.12,4951.488311,101.8322225,129.7422541,151.5982214,150.5605512,58.39560308,6884.78705,85.38197826,1211.603878,7443.807298,47.06613199,70.40702765,11.74738207,4.813326124,76.31732496,0.396156865,0.061764898,0.68877962,0
12606297.84,4923.120518,82.43674081,111.3989633,151.8764863,152.627759,49.3598189,7403.440667,91.41759357,681.0555502,6988.133433,44.44751778,46.98490073,20.40566557,4.719882352,51.43462257,0.252621014,0.043550426,0.79137314,0
12490736.74,4819.339615,87.54250731,126.35416,151.6805793,151.8044832,24.67509729,6508.996884,79.46860032,1644.757349,8312.408145,52.88806829,21.09545337,5.712506845,0.670009102,63.17235504,0.195052336,0.038934094,0.688321118,0
12422851.09,4908.568667,88.58200145,120.5943623,150.4392534,151.8430571,27.44554254,6503.074151,80.34869909,1530.788112,8662.576719,54.60756275,50.10350802,23.76758065,2.866231818,44.92244221,0.202943965,0.04018922,0.608373837,0
12411797.74,4858.190138,75.26221036,102.6964521,150.1089604,150.4521033,51.49439765,6544.940526,80.96662051,1535.685054,8823.831606,55.02392728,43.58881554,26.29401682,10.78982663,46.6260048,0.175368807,0.038258153,0.641108015,0
12410581.8,4925.167009,76.22662643,107.7246831,150.2096993,152.7455019,14.39321871,6676.392985,82.8436488,1368.49038,8456.917654,52.94324025,23.82225402,19.70330954,11.40080139,41.00255593,0.169796944,0.037802593,0.630998701,0
12386845.89,4928.722836,129.592258,161.2404638,150.8054922,152.9006242,44.12692932,7529.606986,92.76662761,607.9362719,7919.8521,49.4178539,46.10519731,9.22087458,6.536699212,83.73036251,0.231715703,0.043964698,1.119147041,0
12317232.57,4537.88174,162.5023793,203.6837013,150.3532295,150.8566476,60.41036632,7516.760467,93.86103959,540.510899,8551.637765,53.77012339,63.53030383,10.77923872,3.285549584,74.58827858,0.332491444,0.070513072,0.855813106,0
12449237.98,4923.907563,89.98814354,129.0288587,151.5347466,151.3461756,68.69417551,7217.370525,90.11289013,875.1431669,8344.563283,52.48041072,58.89352266,7.453558477,0.95454249,78.16779147,0.416398216,0.058996078,1.468321898,0
12579580.08,4916.706888,134.8155546,187.698994,150.4363551,151.0020673,75.31902737,7138.062905,87.9783361,978.2952874,8998.849061,56.77921553,67.82130703,1.924364771,0.39461914,78.51674714,0.433763336,0.061276515,1.193079237,0
12456503.64,4882.914246,110.6565921,141.8527456,149.6704034,150.6812368,73.79519027,6947.220973,86.86348155,1093.937073,8971.981418,56.89238418,42.15265341,8.791091946,5.997784563,58.86218401,0.217579403,0.04423693,0.85919283,0
12554414.34,4846.413899,113.0910954,151.7076987,151.4145028,151.2457837,83.18323715,7208.797717,87.99166397,903.7344948,8692.451528,54.73701014,77.44600027,11.04913469,3.438294832,71.81505952,0.295154895,0.046504899,1.303835978,0
12614631.13,4955.866191,108.1119258,144.2150978,151.3854519,152.8878442,54.33510761,6841.135555,84.84239176,1188.708384,9028.983476,56.91222955,51.53482888,9.529462386,2.332256445,55.47648096,0.206854318,0.034884192,2.224340323,0
