Iterations,Function Calls,Execution Time (s),Total Execution Time (s),Execution Memory (KB),Total Execution Memory (KB),CPU Usage (%),Memory Usage (MB),Memory Usage (%),Available Virtual Memory (MB),Swap Usage (MB),Swap Usage (%),Energy Usage (%),Download Speed (Mbps),Upload Speed (Mbps),Ping (ms),Disk Write Time (s),Disk Read Time (s),Server RT,label
2500566.263,2186.30692,15.57214572,45.58270419,152.4480758,151.4044663,30.38238179,7109.166987,86.52997175,1046.350584,11412.81281,72.523468,27.48328548,28.95308909,2.033334348,52.31293807,0.195852207,0.036619427,0.75073294,0
8613249.864,3935.94669,53.40962395,85.10200467,151.569556,151.1347971,50.29575657,7263.930713,89.63674668,808.8383869,11545.93961,72.87310409,43.39177058,23.07559709,1.28707308,47.72853612,0.193566859,0.035670152,1.769215813,0
1077146.848,1420.970249,6.063461022,72.47325971,149.7941168,150.3454546,29.31418605,7112.256304,86.80103164,1008.691099,8370.51206,52.1403199,27.07109914,0.205305781,1.063687147,189.1744646,0.204409985,0.039825556,9.382707776,0
9622286.822,4011.763234,73.79288461,105.6492004,150.3354375,150.1597864,21.64231652,7446.543834,91.66302804,691.6121354,8223.981917,50.97384254,20.71827525,32.84968525,2.360705464,65.84781176,0.17953513,0.03957719,0.47716737,0
226168.9957,635.3918112,1.286940996,62.53991771,151.6057758,152.1138996,48.90157222,4605.685125,56.96743565,3439.906527,7348.513821,46.59703439,59.6203829,14.17546554,2.324865771,43.68670731,0.215348721,0.039090958,0.522640706,0
8152229.923,4001.351832,60.05391951,98.06882661,150.9696805,151.24973,7.435834712,4650.828076,57.38853965,3427.548372,7297.770942,46.73834739,6.554050677,6.562446807,2.185864943,41.67250262,0.241081834,0.039725198,1.147765863,0
2908557.899,2353.551909,20.5453079,48.77183788,150.0965155,150.8651193,4.964841496,4659.955213,56.54248792,3488.87454,7492.602224,46.77406209,5.351638003,6.518077266,2.177914377,40.66401193,0.266479303,0.052305575,0.496974924,0
6111598.05,3457.172479,45.42765572,77.03701902,150.5087614,151.0925597,6.542783707,5036.396109,62.25863143,3094.208254,7315.616804,46.04530559,8.98376975,1.766178705,2.491195678,50.25650425,0.242042247,0.049910107,0.850620332,0
2686969.323,2226.827727,14.63307125,42.95660978,152.4586632,152.9773951,6.648331635,5615.335079,69.77609702,2440.136343,6871.50741,43.01083195,4.340567487,36.16586484,3.296767967,43.93135823,0.163757677,0.034894245,0.958173751,0
3874844.561,2773.959495,21.3966786,52.56101674,151.8994186,150.4618062,11.68828871,6001.358965,74.88036557,2071.542666,6477.257834,40.65407509,5.085817922,4.962210931,3.924436057,40.064248,0.157528092,0.035121157,0.646121988,0
2980349.605,2394.528965,16.77167626,45.63830679,150.9520671,150.7198683,10.8148302,5879.965565,73.19536087,2181.142583,6714.400201,42.33667994,2.705313308,1.753902709,2.569172455,39.80725415,0.171014678,0.037526859,0.773585384,0
6884781.71,3658.235448,38.2030395,66.57177407,150.4399541,152.4951288,1.603204546,5587.868337,69.88530429,2463.3133,7022.303761,44.03577169,0.396730378,22.92452471,2.070123265,63.13994614,0.192997085,0.037073385,0.723223989,0
12295412.09,4907.076236,71.7907557,113.9214329,149.9231486,150.1420048,1.194740248,5747.521595,71.22643948,2325.529933,6948.710471,43.70736781,1.896562471,15.75994585,0.597112285,61.43367289,0.161134388,0.035832325,1.906723067,0
11039670.31,4607.322908,64.48354517,97.23696811,151.3888416,153.015259,5.085079924,6428.584325,80.20159801,1587.156439,5980.387371,37.18033532,1.60684388,10.56588038,6.184376708,38.99107115,0.157688555,0.034681594,2.797356765,0
679394.1324,1151.254238,3.513039703,32.48396306,151.3374512,153.3805702,9.7574567,6246.777385,77.21192934,1866.135475,6212.292595,39.56443783,17.24090651,6.784409061,3.700533101,40.9534602,0.172056058,0.039700432,0.672836289,0
12492868.36,4804.775752,71.01178962,98.7721668,149.8509257,151.6831332,13.08412253,5832.120981,71.11474945,2312.180473,6849.235556,42.45314147,3.086268104,15.40021844,2.995713288,43.83464947,0.201521687,0.038943996,0.776993861,0
2716153.864,2231.846448,15.20537926,43.15745329,152.102146,150.8911366,11.3820113,6458.198024,80.39673326,1633.608744,6298.520915,39.47842154,17.59200939,12.04639486,2.787651414,48.11393596,0.265189164,0.044744876,0.727698245,0
7537945.058,3757.225974,42.42742355,73.56266823,152.5265091,151.6978493,5.432928414,6798.671389,83.29712062,1312.374818,6085.635803,38.6147438,10.81697194,13.79650219,1.637041612,59.94684262,0.15208441,0.035744558,0.844173607,0
380485.1723,813.3330651,1.883808771,40.67698023,150.9915963,150.9110381,2.282920113,6719.012374,83.31925473,1409.358407,6208.74953,39.49270769,4.689271669,7.942791751,2.563897884,100.4322868,0.182994196,0.038158402,0.731247541,0
2009277.11,1933.640856,10.60530542,40.89745843,151.5450918,151.0871121,3.935923066,6621.871426,82.52576279,1383.765448,6236.486736,39.24769603,3.468995222,9.435433661,1.877172394,58.00870284,0.166740625,0.036051079,0.881438742,0
9217472.731,4188.225379,53.69097752,80.29232312,152.6661364,151.4442165,4.300771621,6516.923311,79.93041856,1595.025044,6623.880852,41.09033417,2.698273608,8.589416069,3.078225197,55.93330526,0.163013801,0.04002163,0.911041393,0
8202363.317,3954.788335,46.92226697,76.48729256,151.4135462,152.2618311,5.483287101,6594.412944,82.11710233,1457.314133,6497.903871,40.54485667,10.50149101,9.183568245,0.489680678,45.70190085,0.16782831,0.036533176,0.734216076,0
9490579.477,4284.637572,53.9748612,86.98645245,150.1197662,153.180638,10.42207713,6589.255636,81.13502916,1502.928227,6544.231222,41.64763888,1.985343139,14.27645152,2.003143634,53.52876277,0.169827832,0.036559594,0.809829883,0
4449938.966,2983.232454,23.23905649,63.32196642,150.7136709,152.8825755,9.383022307,6612.805845,82.2711515,1474.935576,6633.649419,41.99989135,5.438855034,1.382682911,0.998832598,111.4123606,0.167397243,0.037870449,1.340001509,0
11669713.92,4684.261818,71.83166678,105.1559508,151.993955,152.9765062,7.780043477,6635.249076,81.27254193,1504.150715,6812.948697,42.54330136,8.555363647,8.296566113,2.382263074,56.32787636,0.173154535,0.034947535,1.321634291,0
527549.2885,1012.760776,2.670383216,31.79636618,149.4898925,149.5482034,12.21883176,6911.072067,85.71940078,1191.400741,6576.573987,41.43017596,13.17416318,8.48266907,3.870389651,55.60554631,0.194138289,0.034622979,1.135359514,0
12246136.81,4908.910219,71.49880185,100.6100073,152.8851034,152.0576974,14.17455213,6320.072703,78.09846124,1834.8842,7288.332238,46.53048107,6.151881111,5.385445007,2.327261141,48.76117527,0.178558604,0.035782334,0.736055078,0
2112933.381,1968.669009,11.6514765,42.90866833,151.5524469,151.1900589,13.84306197,5755.690181,72.06840497,2287.823334,7902.901768,49.24379469,10.88968094,11.78629842,1.921150438,57.51713931,0.145215563,0.036105886,1.963249545,0
4397069.188,2917.077563,25.00402494,54.59515057,150.5103761,152.2106927,6.655387717,5817.33988,72.62096775,2217.15496,7891.602588,50.29557009,10.90165863,21.08826298,2.708261416,48.76167199,0.164259717,0.035240189,0.718675479,0
3642307.399,2592.504999,20.66877571,54.13482151,151.8119928,150.0651563,9.340690884,6216.507302,76.73380366,1848.734205,7602.156819,48.31051242,8.668594483,10.30519737,2.68706661,50.089233,0.164463332,0.034619183,0.75143607,0
8202823.327,3968.592395,45.42976566,78.45259029,151.1413016,153.6398748,4.315570919,6622.340884,82.11521834,1439.262447,7446.788902,46.37725525,12.97297253,8.584900794,1.48039083,52.79573981,0.183768506,0.035995663,1.178434214,0
7742078.563,3898.419063,47.08709725,74.01139537,152.0795814,151.6615962,7.369957973,6866.352711,84.88745666,1211.726071,7270.130974,45.83987241,10.52864501,10.63647796,4.357928339,41.84415483,0.184794671,0.039044113,0.675766793,0
5853266.14,3333.692838,35.53650694,67.57125951,150.8213417,151.7144584,10.26056988,6854.005779,84.97017344,1270.492721,7385.275542,46.51046326,14.53775366,8.161373213,2.718674853,52.29264292,0.145844964,0.038832378,0.746837899,0
1620161.049,1768.833159,8.719142474,41.0168763,149.9179504,151.7367524,8.964164882,6645.458945,83.12070634,1407.728336,7526.977134,47.52443882,15.45436876,7.992777038,2.631080251,55.39503033,0.178126565,0.036885027,0.770129214,0
4821362.378,3027.381553,28.88280209,247.294551,152.2635004,150.3349853,12.10858317,6292.271139,78.3251894,1817.438149,8069.229572,50.33230338,10.55265658,5.217251047,0.402478959,62.84222085,0.167247187,0.036019159,0.690627054,0
692383.9407,1140.970734,3.619858658,33.89015807,150.9419616,150.6868417,13.00099371,6533.773942,81.09345634,1558.833556,7815.787253,48.97457167,7.373525318,3.219212648,3.073545107,50.60126435,0.167663161,0.034868161,2.354648374,0
7864131.469,3914.255295,47.36947781,86.40021292,150.8155576,151.9400236,13.18561846,7168.47657,88.91275696,906.247379,7349.020754,46.97151932,16.26159028,6.837193588,1.220590748,58.46375077,0.174018651,0.039054223,0.874073307,0
6569586.75,3541.80513,40.01320486,80.81441788,152.0316404,150.9441526,31.10251694,6931.556876,86.58790997,1091.477855,7842.469053,49.97489387,11.79473588,7.119416581,0.414030514,130.9178115,0.161301153,0.035954641,0.763895841,0
2524488.374,2206.358299,14.17160824,76.40766872,149.6702476,150.1245596,14.44243749,6461.353347,79.97697715,1673.484453,8331.849759,52.37180715,13.7753686,7.746863253,3.096479502,90.11845322,0.1755249,0.03621982,0.742601966,0
1988139.482,1975.142045,12.67602839,71.44379531,151.4142381,150.4959384,13.53113888,6459.470638,79.46261565,1671.66483,8460.374861,53.45966293,12.15963578,7.644579001,0.788190004,63.5022469,0.188213958,0.0395834,1.048728654,0
1138658.184,1448.458528,6.417513968,41.34547631,150.8011448,149.9004736,11.3824952,6580.261788,80.83135908,1557.620178,8376.37555,52.94034551,12.03430665,5.737263521,2.928845089,66.01885001,0.161846896,0.036202037,0.760148687,0
545321.2011,1013.730171,3.759991094,36.5640329,151.3990798,149.3764629,54.22941885,6586.929993,82.19809173,1427.516279,8548.182272,53.22851342,56.89880266,4.71824147,1.97295936,58.73673991,0.173608935,0.037239726,2.572063051,0
